kindName;otherKindName;count;count_unique;min_time;max_time;avg_time
taskCostSpent;taskAssigned;;14;1556952314000;1556952314000;1556952314000.0
taskAssigned;taskCostSpent;;14;1556951476000;1556951476000;1556951476000.0
taskCostSpent;taskNew;;14;1556952314000;1556952314000;1556952314000.0
taskNew;taskNew;;15;1556951536000;1556951536000;1556951536000.0
taskNew;taskDelivered;;16;1556951561000;1556951561000;1556951561000.0
taskDelivered;taskDelivered;;16;1556951561000;1556951561000;1556951561000.0
taskDelivered;taskOperation;;15;1556951536000;1556951536000;1556951536000.0
taskOperation;taskCostSpent;;15;1556951536000;1556951536000;1556951536000.0
taskCostSpent;taskAssigned;;15;1556952262000;1556952262000;1556952262000.0
taskAssigned;taskCostSpent;;15;1556951536000;1556951536000;1556951536000.0
taskCostSpent;taskOperation;;15;1556952262000;1556952262000;1556952262000.0
taskOperation;taskCostSpent;;16;1556951561000;1556951561000;1556951561000.0
taskCostSpent;taskAssigned;;16;1556952178000;1556952178000;1556952178000.0
taskAssigned;taskCostSpent;;16;1556951561000;1556951561000;1556951561000.0
taskCostSpent;taskNew;;16;1556952178000;1556952178000;1556952178000.0
taskNew;taskNew;;17;1556951603000;1556951603000;1556951603000.0
taskNew;taskDelivered;;18;1556951623000;1556951623000;1556951623000.0
taskDelivered;taskDelivered;;18;1556951623000;1556951623000;1556951623000.0
taskDelivered;taskOperation;;17;1556951603000;1556951603000;1556951603000.0
taskOperation;taskCostSpent;;17;1556951603000;1556951603000;1556951603000.0
taskCostSpent;taskAssigned;;17;1556952396000;1556952396000;1556952396000.0
taskAssigned;taskCostSpent;;17;1556951603000;1556951603000;1556951603000.0
taskCostSpent;taskComplete;;17;1556952396000;1556952396000;1556952396000.0
taskComplete;taskNew;;3;1556951607000;1556951607000;1556951607000.0
taskNew;taskDelivered;;19;1556951682000;1556951682000;1556951682000.0
taskDelivered;taskDelivered;;19;1556951682000;1556951682000;1556951682000.0
taskDelivered;taskOperation;;3;1556951667000;1556951667000;1556951667000.0
taskOperation;taskCostSpent;;3;1556951667000;1556951667000;1556951667000.0
taskCostSpent;taskAssigned;;3;1556952299000;1556952299000;1556952299000.0
taskAssigned;taskCostSpent;;3;1556951667000;1556951667000;1556951667000.0
taskCostSpent;taskComplete;;3;1556952299000;1556952299000;1556952299000.0
taskComplete;taskNew;;4;1556951708000;1556951708000;1556951708000.0
taskNew;taskDelivered;;20;1556951782000;1556951782000;1556951782000.0
taskDelivered;taskDelivered;;20;1556951782000;1556951782000;1556951782000.0
taskDelivered;taskComplete;;4;1556951768000;1556951768000;1556951768000.0
taskComplete;taskOperation;;1;1556951783000;1556951783000;1556951783000.0
taskOperation;taskCostSpent;;4;1556951768000;1556951768000;1556951768000.0
taskCostSpent;taskAssigned;;4;1556952384000;1556952384000;1556952384000.0
taskAssigned;taskCostSpent;;4;1556951768000;1556951768000;1556951768000.0
taskCostSpent;taskNew;;4;1556952384000;1556952384000;1556952384000.0
taskNew;taskDelivered;;21;1556951874000;1556951874000;1556951874000.0
taskDelivered;taskComplete;;21;1556951874000;1556951874000;1556951874000.0
taskComplete;taskComplete;;7;1556951835000;1556951835000;1556951835000.0
taskComplete;taskOperation;;6;1556951850000;1556951850000;1556951850000.0
taskOperation;taskCostSpent;;18;1556951623000;1556951623000;1556951623000.0
taskCostSpent;taskAssigned;;18;1556952559000;1556952559000;1556952559000.0
taskAssigned;taskCostSpent;;18;1556951835000;1556951835000;1556951835000.0
taskCostSpent;taskOperation;;18;1556952559000;1556952559000;1556952559000.0
taskOperation;taskCostSpent;;19;1556951682000;1556951682000;1556951682000.0
taskCostSpent;taskAssigned;;19;1556952683000;1556952683000;1556952683000.0
taskAssigned;taskCostSpent;;19;1556951850000;1556951850000;1556951850000.0
taskCostSpent;taskDelivered;;19;1556952683000;1556952683000;1556952683000.0
taskDelivered;taskDelivered;;6;1556951910000;1556951910000;1556951910000.0
taskDelivered;taskComplete;;7;1556951895000;1556951895000;1556951895000.0
taskComplete;taskOperation;;5;1556951923000;1556951923000;1556951923000.0
taskOperation;taskSupported;;7;1556951895000;1556951895000;1556951895000.0
taskSupported;taskSupported;;7;1556952495000;1556952495000;1556952495000.0
taskSupported;taskCostSpent;;7;1556952495000;1556952495000;1556952495000.0
taskCostSpent;taskOperation;;7;1556952495000;1556952495000;1556952495000.0
